Column1,movie_title,year,place,rating,vote,link,duration,genre
151,2 Dead Poets Society,1989,152,8.1,"70,136,369",/title/tt0097165/,128 min," Comedy, Drama            "
152,3 Airplane!,1980,153,7.7,471125,/title/tt0080339/,88 min, Comedy            
153,4 Star Wars: Episode VII - The Force Awakens,2015,154,7.8,"95,860,116",/title/tt2488496/,138 min," Action, Adventure, Sci-Fi            "
154,5 Moana (I),2016,155,7.6,210,/title/tt3521164/,107 min," Animation, Adventure, Comedy            "
155,6 Harry Potter and the Prisoner of Azkaban,2004,156,7.9,232979,/title/tt0304141/,142 min," Adventure, Family, Fantasy            "
156,7 Zodiac,2007,157,7.7,"83,400,000",/title/tt0443706/,157 min," Crime, Drama, Mystery            "
157,8 Man on Fire,2004,158,7.7,907984,/title/tt0328107/,146 min," Action, Crime, Drama            "
158,9 The Handmaiden,2016,159,8.1,"936,662,225",/title/tt4016934/,145 min," Drama, Romance, Thriller            "
159,0 Memento,2000,160,8.4,319931,/title/tt0209144/,113 min," Mystery, Thriller            "
160, Guardians of the Galaxy Vol 2,2017,161,7.6,"248,757,044",/title/tt3896198/,136 min," Action, Adventure, Comedy            "
161, Harry Potter and the Deathly Hallows: Part 1,2010,162,7.7,613283,/title/tt0926084/,146 min," Adventure, Family, Fantasy            "
162, The Sixth Sense,1999,163,8.2,"249,358,727",/title/tt0167404/,107 min," Drama, Mystery, Thriller            "
163, Atonement,2007,164,7.8,523274,/title/tt0783233/,123 min," Drama, Mystery, Romance            "
164, V for Vendetta,2005,165,8.2,"33,080,084",/title/tt0434409/,132 min," Action, Drama, Sci-Fi            "
165, The Last Picture Show,1971,166,8,356119,/title/tt0067328/,118 min," Drama, Romance            "
166, Wind River,2017,167,7.7,"77,911,774",/title/tt5362988/,107 min," Crime, Drama, Mystery            "
167, Braveheart,1995,168,8.4,138085,/title/tt0112573/,178 min," Biography, Drama, History            "
168, Rogue One: A Star Wars Story,2016,169,7.8,"2,006,788",/title/tt3748528/,133 min," Action, Adventure, Sci-Fi            "
169, Zootopia,2016,170,8,244,/title/tt2948356/,108 min," Animation, Adventure, Comedy            "
170, The Help,2011,171,8.1,1205746,/title/tt1454029/,146 min, Drama            
171, City of God,2002,172,8.6,"25,544,867",/title/tt0317248/,130 min," Crime, Drama            "
172, La La Land,2016,173,8,53,/title/tt3783958/,128 min," Comedy, Drama, Music            "
173, Ocean's Eleven,2001,174,7.7,647947,/title/tt0240772/,116 min," Crime, Thriller            "
174, About Time (I),2013,175,7.8,"389,813,101",/title/tt2194499/,123 min," Comedy, Drama, Fantasy            "
175, Stardust,2007,176,7.6,530368,/title/tt0486655/,127 min," Adventure, Family, Fantasy            "
176, The Social Network,2010,177,7.8,"295,983,305",/title/tt1285016/,120 min," Biography, Drama            "
177, The Hobbit: An Unexpected Journey,2012,178,7.8,967849,/title/tt0903624/,169 min," Adventure, Fantasy            "
178, Donnie Brasco,1997,179,7.7,"293,506,292",/title/tt0119008/,127 min," Biography, Crime, Drama            "
179, Once Upon a Time in America,1984,180,8.3,143,/title/tt0087843/,229 min," Crime, Drama            "
180," The Good, the Bad and the Ugly",1966,181,8.8,272142,/title/tt0060196/,178 min," Adventure, Western            "
181, A Beautiful Mind,2001,182,8.2,"50,927,067",/title/tt0268978/,135 min," Biography, Drama            "
182, Willy Wonka & the Chocolate Factory,1971,183,7.8,1097884,/title/tt0067992/,100 min," Family, Fantasy, Musical            "
183, Almost Famous,2000,184,7.9,"70,511,035",/title/tt0181875/,122 min," Adventure, Comedy, Drama            "
184, The Blind Side,2009,185,7.6,158,/title/tt0878804/,129 min," Biography, Drama, Sport            "
185, Predator,1987,186,7.8,47536,/title/tt0093773/,107 min," Action, Adventure, Horror            "
186, The Wizard of Oz,1939,187,8.1,"29,133,000",/title/tt0032138/,102 min," Adventure, Family, Fantasy            "
187, District 9,2009,188,7.9,242716,/title/tt1136608/,112 min," Action, Sci-Fi, Thriller            "
188, Green Book,2018,189,8.2,"33,800,859",/title/tt6966692/,130 min," Biography, Comedy, Drama            "
189, Die Hard,1988,190,8.2,1015834,/title/tt0095016/,132 min," Action, Thriller            "
190, Moneyball,2011,191,7.6,"75,600,000",/title/tt1210166/,133 min," Biography, Drama, Sport            "
191, Logan,2017,192,8.1,73,/title/tt3315342/,137 min," Action, Drama, Sci-Fi            "
192, Shrek,2001,193,7.9,604536,/title/tt0126029/,90 min," Animation, Adventure, Comedy            "
193," O Brother, Where Art Thou?",2000,194,7.7,"532,177,324",/title/tt0190590/,107 min," Adventure, Comedy, Crime            "
194, Ratatouille,2007,195,8.1,480826,/title/tt0382932/,111 min," Animation, Adventure, Comedy            "
195, Mission: Impossible - Fallout,2018,196,7.7,"341,268,248",/title/tt4912910/,147 min," Action, Adventure, Thriller            "
196, ET the Extra-Terrestrial,1982,197,7.9,449318,/title/tt0083866/,115 min," Adventure, Family, Sci-Fi            "
197, Mulholland Drive,2001,198,7.9,"169,708,112",/title/tt0166924/,147 min," Drama, Mystery, Thriller            "
198, Skyfall,2012,199,7.8,247,/title/tt1074638/,143 min," Action, Adventure, Thriller            "
199, Kill Bill: Vol 1,2003,200,8.2,740333,/title/tt0266697/,111 min," Action, Crime, Drama            "
200,1 A Few Good Men,1992,201,7.7,256088,/title/tt0104257/,138 min," Drama, Thriller            "
201,2 Terminator 2: Judgment Day,1991,202,8.6,"141,340,178",/title/tt0103064/,137 min," Action, Sci-Fi            "
202,3 The Incredibles,2004,203,8,1066622,/title/tt0317705/,115 min," Animation, Action, Adventure            "
203,4 The Girl with the Dragon Tattoo,2011,204,7.8,"204,843,350",/title/tt1568346/,158 min," Crime, Drama, Mystery            "
204,5 2001: A Space Odyssey,1968,205,8.3,29,/title/tt0062622/,149 min," Adventure, Sci-Fi            "
205,6 Come and See,1985,206,8.4,708536,/title/tt0091251/,142 min," Drama, Thriller, War            "
206,7 LA Confidential,1997,207,8.3,"261,441,092",/title/tt0119488/,138 min," Crime, Drama, Mystery            "
207,8 The Perks of Being a Wallflower,2012,208,8,227,/title/tt1659337/,103 min," Drama, Romance            "
208,9 True Romance,1993,209,7.9,454946,/title/tt0108399/,119 min," Crime, Drama, Romance            "
209,0 The Hateful Eight,2015,210,7.8,"102,515,793",/title/tt3460252/,168 min," Crime, Drama, Mystery            "
210, Casino,1995,211,8.2,650763,/title/tt0112641/,178 min," Crime, Drama            "
211, Training Day,2001,212,7.7,"56,954,992",/title/tt0139654/,122 min," Action, Crime, Drama            "
212, Captain America: Civil War,2016,213,7.8,89,/title/tt3498820/,147 min," Action, Adventure, Sci-Fi            "
213, Star Trek,2009,214,7.9,74639,/title/tt0796366/,127 min," Action, Adventure, Sci-Fi            "
214, American Gangster,2007,215,7.8,103,/title/tt0765429/,157 min," Biography, Crime, Drama            "
215, Another Round,2020,216,7.7,570883,/title/tt10288566/,117 min," Comedy, Drama            "
216, Sin City,2005,217,8,"64,616,940",/title/tt0401792/,124 min," Crime, Thriller            "
217, Catch Me If You Can,2002,218,8.1,113,/title/tt0264464/,141 min," Biography, Crime, Drama            "
218, Reservoir Dogs,1992,219,8.3,497562,/title/tt0105236/,99 min," Crime, Drama, Thriller            "
219, Toy Story,1995,220,8.3,"17,742,948",/title/tt0114709/,81 min," Animation, Adventure, Comedy            "
